Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Göteborg A;71420;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medelvärde 1 dygn, 1 gång/dygn, kl 00;degree celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1983-04-01 00:00:00;1995-09-30 23:59:59;23.0;57.7084;11.9939
1969-07-01 00:00:00;1972-04-30 23:59:59;40.0;57.72;12.02
1972-05-01 00:00:00;1976-10-01 23:59:59;4.0;57.7;11.98
1995-10-01 00:00:00;1998-05-31 23:59:59;5.0;57.708;11.9938
1999-03-01 00:00:00;2019-05-29 05:00:00;3.038;57.715642;11.992377
1961-01-01 00:00:00;1969-05-31 23:59:59;30.0;57.7;11.97

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Lufttemperatur;Kvalitet;;Tidsutsnitt:
2019-01-19 00:00:01;2019-01-20 00:00:00;2019-01-19;-0.6;Y;;Data från senaste fyra månaderna
2019-01-20 00:00:01;2019-01-21 00:00:00;2019-01-20;-1.9;Y;;Tidsperiod (fr.o.m.) = 2019-01-19 00:00:01 (UTC)
2019-01-21 00:00:01;2019-01-22 00:00:00;2019-01-21;1.4;Y;;Tidsperiod (t.o.m.) = 2019-05-29 05:00:00 (UTC)
2019-01-22 00:00:01;2019-01-23 00:00:00;2019-01-22;0.9;Y;;Medelvärdet är beräknat för = 24 timmar
2019-01-23 00:00:01;2019-01-24 00:00:00;2019-01-23;-1.9;Y;;
2019-01-24 00:00:01;2019-01-25 00:00:00;2019-01-24;-2.4;Y;;Kvalitetskoderna:
2019-01-25 00:00:01;2019-01-26 00:00:00;2019-01-25;-2.5;Y;;Grön (G) = Kontrollerade och godkända värden.
2019-01-26 00:00:01;2019-01-27 00:00:00;2019-01-26;-3.4;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
2019-01-27 00:00:01;2019-01-28 00:00:00;2019-01-27;-1.5;Y;;
2019-01-28 00:00:01;2019-01-29 00:00:00;2019-01-28;0.1;Y;;Orsaker till saknade data:
2019-01-29 00:00:01;2019-01-30 00:00:00;2019-01-29;-4.6;Y;;  stationen eller givaren har varit ur funktion.
2019-01-30 00:00:01;2019-01-31 00:00:00;2019-01-30;-2.5;Y
2019-01-31 00:00:01;2019-02-01 00:00:00;2019-01-31;-0.1;Y
2019-02-01 00:00:01;2019-02-02 00:00:00;2019-02-01;0.3;Y
2019-02-02 00:00:01;2019-02-03 00:00:00;2019-02-02;0.7;Y
2019-02-03 00:00:01;2019-02-04 00:00:00;2019-02-03;-1.2;Y
2019-02-04 00:00:01;2019-02-05 00:00:00;2019-02-04;0.5;Y
2019-02-05 00:00:01;2019-02-06 00:00:00;2019-02-05;2.1;Y
2019-02-06 00:00:01;2019-02-07 00:00:00;2019-02-06;1.0;Y
2019-02-07 00:00:01;2019-02-08 00:00:00;2019-02-07;3.4;Y
2019-02-08 00:00:01;2019-02-09 00:00:00;2019-02-08;4.8;Y
2019-02-09 00:00:01;2019-02-10 00:00:00;2019-02-09;5.4;Y
2019-02-10 00:00:01;2019-02-11 00:00:00;2019-02-10;5.0;Y
